"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200212264213,3,2002/12/26,2006/09/06,ISSUED,9,2008/09/06,300000,450000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,4069,18,1740,,20TH,ST,,,,,,,,,,,,"GARY BELL",4159025400,"HORIZONTAL ADDITION TO (E) DWELLING EXPANDED GARAGE TO PARK 2 AUTOS  (N) ROOF DECK  (N) EXTERIOR"
#200301064578,3,2003/01/06,2006/09/13,ISSUED,9,2007/09/13,180000,55000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1788,11,1371,,33RD,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"SINGLE FAMILY RESIDENCE NEW HORIZONTAL ADDITION"
#200302056745,3,2003/02/05,2006/09/13,ISSUED,9,2007/01/13,500,500,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2482,28,320,,WAWONA,ST,,,OBR,OBR,,OBR,OBR,,OBR,CA,00000-0000,,,"COMPLY NOV 200336996 ON 1/13/03. REVERT BASEMENT BACK TO STORAGE AND WORK ROOM.CAP OFF SINKS. TO REVERT BACK TO ORIGINAL USE . REMOVE INLAW @ GROUND FLOOR. REVERT TO LAST LEGAL USE."
#200305063916,3,2003/05/06,2006/09/21,ISSUED,9,2007/03/21,7500,7500,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1560,010A,545,,17TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"IMPROVEMENTS PER INSPECTION REPORT 1/31/2002 3R-3475 FOR CONDO CONVERSION."
#200305063916,3,2003/05/06,2006/09/21,ISSUED,9,2007/03/21,7500,7500,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1560,010A,543,,17TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"IMPROVEMENTS PER INSPECTION REPORT 1/31/2002 3R-3475 FOR CONDO CONVERSION."
#200307310827,3,2003/07/31,2006/09/19,ISSUED,9,2007/03/19,10000,7500,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,3655,2,1006,,NOE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO COMPLY 3R-3688 REPORT  01/28/2003. (FRONT BUILDING)"
#200401083651,3,2004/01/08,2006/09/28,ISSUED,9,2007/09/28,100000,213000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5540,13,328,,RUTLEDGE,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"COMPLY NOV 200672325. INCREASE GARAGE TO 2 CARS (FROM ONE CAR)  DEVELOPE LIVING AREA IN ATTIC   REPLACE DAMAGED STRUCTURE AT REAR  EXTEND LOWER FLOOR AT REAR. ADD DECKS  REPLACE FOUNDATIONS  PERFORM SEISMIC RETROFIT/UPGRADE ELECTRICAL/PLUMBING UPGRADE."
#200402136432,3,2004/02/13,2006/09/25,ISSUED,9,2007/01/25,1000,2500,CHURCH,0,CHURCH,0,7380,16,999,,BROTHERHOOD,WY,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"COMPLY N.O.V. 200345938. MEN'S & WOMEN'S BATHROOM UPGRADE (GROUND FLOOR) & ADD EXIT LIGHTS  ADD ""MAX OCCUPANCY"" SIGNS & BARRIER REMOVAL ITEMS: ADD EXTERIOR CONCRETE RAMP & SOME UPGRADES IN THE RESTROOMS (ESTABLISH OL  UPPER LEVEL  OL  963  LOWER LEVEL  OL  268)"
#200405133868,3,2004/05/13,2006/09/15,ISSUED,9,2007/03/15,9000,3800000,"PARKING LOT",0,OFFICE,0,3721,80,555,,MISSION,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"TUAN & ROBINSON STRUCTURAL ENGINEERS  INC",,"SHORING AND EXCAVATION FOR NEW BLDG APPL 200110130668."
#200406095941,3,2004/06/09,2006/09/26,ISSUED,9,2007/09/26,90000,90000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,4030,18,675,,KANSAS,ST,,,,,,,,,,,,"WILLIAM WALTERS 1299 - 18TH ST SF  CA 94107",,"DEMO ENTRY STAIRS PORCH UTILITY RM&PANTRY&REAR STAIR FRONT&REAR PORTIONS ROOF.NEW ENTRY STAIRS PORCH"
#200406297535,3,2004/06/29,2006/09/13,ISSUED,9,2007/09/13,100000,100000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2328,017A,1131,,RIVERA,ST,,,RONALD,XU,6503401233,"PERFECT CONNECTION INC",DALE,AV,"SAN MATEO",CA,94401-0000,,,"PROPOSED HORIZONTAL 2 STORY ADD AT REAR OF EXTG 1 STORY OVER GARAGE  SF DWELLIHNG/TOTAL ADDITION AREA 1375 SQ FT AND EXIST BLDG JACK UP 1'0"". NOV 200450772 CED."
#200409295506,3,2004/09/29,2006/09/18,ISSUED,9,2007/09/18,130000,148000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2438,32,2538,,38TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"WILLIAM RIDDLE BEST DESIGN",,"HORIZONTAL ADDITION OF SINGLE FAMILY DWELLING  650 SQ FT AT GROUND FLOOR  620 SQ FT AT 2ND FLOOR. MECHANICAL  ELECTRICAL UNDER SEPERATE PERMIT."
#200412232061,6,2004/12/23,2006/09/22,ISSUED,9,,,,"STORAGE SHED",0,,,3533,24,480,,14TH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMOLISH A ONE STORY  STORAGE SHED."
#200501072738,2,2005/01/07,2006/09/22,ISSUED,9,2008/09/22,350000,733400,,,"1 FAMILY DWELLING",1,7518,15,858,,DUNCAN,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT 3 STORIES OF 1 FAMILY DWELLING"
#200501072739,2,2005/01/07,2006/09/22,ISSUED,9,2008/09/22,350000,742000,,,"1 FAMILY DWELLING",1,7518,15,868,,DUNCAN,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT 3 STORIES OF 1 FAMILY DWELLING."
#200501143283,2,2005/01/14,2006/09/15,ISSUED,9,2008/09/15,450000,500000,,,"1 FAMILY DWELLING",1,6728,12,538,,LAIDLEY,ST,,,"RYAN ENGINEERING INC",,,"RYAN ENGINEERING INC","SOUTH MAPLE",AV,"SO SAN FRANCISCO",CA,94080,,,"ERECT 4 STORIES OF 1 FAMILY DWELLING"
#200501253937,3,2005/01/25,2006/09/26,ISSUED,9,2007/03/26,5000,7000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,4334,19,1405,,YORK,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ENCLOSE (E) OUTSIDE DECK AND REAR STAIR INTO HABITABLE AREA. TO COMPLY NOV#200452181.W/REF APP# 200408091027."
