"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,,
#200004268342,3,2000/04/26,2009/05/12,ISSUED,9,2010/05/12,80000,120000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,583,17,2423,,BROADWAY,*,,,"JOHN BARCEWSKI",,4154795566,"BARCEWSKI INC DBA SUNSHINE CONSTRUCTION",WOODBINE,DR,"SAN RAFAEL",CA,94903,"ALAN MARTINEZ 149 9TH ST  #410 SF",,"NEW TWO CAR GARAGE IN FRONT YARD W/TERRACE ABOVE. REBUILD FRONT STAIRCASE.",,
#200509304371,3,2005/09/30,2009/05/27,ISSUED,9,2011/05/27,500000,1500000,OFFICE,,OFFICE,,3702,44,1145,,MARKET,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REPAIR/REPLACE DAMAGED METAL ROOF & FLAGPOLE @PENTHOUSE @(E)13 STORY BLDG.THE FLAGPOLE WAS STRUCK BY TOWER CRANE FROM ADJ.FEDERAL BLDG.REQUIRE REPAIR OF ROOF & FLAGPOLE.METAL ROOF IS TO BE REPALCED W/GLASS ROOF TO MATCH (E)WINDOW WALL OF BLDG.& TO BE INTERNALLY ILLUMINATED FOR NIGHT LIGHTING.",,
#200512190620,3,2005/12/19,2009/05/11,ISSUED,9,2010/05/11,50000,100000,"2 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,5338,56,1765,,QUESADA,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO COMPLY WITH NOV# 200450107  CONVERT (E) SINGLE FAMILY BASEMENT INTO A NEW UNIT. REPAIR (E) GARAGE FOR 2 CARS PARKING. (1 PARKING TO 2 PARKING)  CONVERT ATTIC TO HABITABLE SPACE.",,
#200609011333,3,2006/09/01,2009/05/14,ISSUED,9,2010/05/14,48000,369240,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,6048,2,2724,,"SAN BRUNO",AV,,,VICTOR,TANG,5103371389,"CURRENT CONSTRUCTION CO.",ADAMS,ST,ALAMEDA,CA,94501-0000,,,"ADDITION HORIZONTAL AT GROUND FLOOR FOR STORAGE (25'X58'+10"")",,
#200609011333,3,2006/09/01,2009/05/14,ISSUED,9,2010/05/14,48000,369240,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,6048,2,2726,,"SAN BRUNO",AV,,,VICTOR,TANG,5103371389,"CURRENT CONSTRUCTION CO.",ADAMS,ST,ALAMEDA,CA,94501-0000,,,"ADDITION HORIZONTAL AT GROUND FLOOR FOR STORAGE (25'X58'+10"")",,
#200702063549,3,2007/02/06,2009/05/06,ISSUED,9,2009/11/06,20000,20000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,4094,17,896,,"RHODE ISLAND",ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"INSTALL A GARAGE IN FRONT OF HOUSE  HORIZONTAL ADDITION.",,
#200705111056,2,2007/05/11,2009/05/20,ISSUED,9,2011/05/20,250000,488280.35,,,"1 FAMILY DWELLING",1,6343,37,641,,LISBON,ST,0,,KENT,DENG,4153088628,"KENT DENG",DORCHESTER,DR,"DALY CITY",CA,94015-0000,,,"TO ERECT 1 DWELLING UNIT WITH 3 STORIES NEW BUILDING",,
#200705252336,3,2007/05/25,2009/05/01,ISSUED,9,2011/05/01,500000,500000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,514,2,3157,,STEINER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"remodel 2 story house w/ rear & third floor addition & 2nd dwelling unit on 1st floor",,
#200706275334,3,2007/06/27,2009/05/26,ISSUED,9,2011/05/26,600000,775000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,60,9,1740,,KEARNY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REMODEL & HORIZONTAL ADDITIONS TO ALL 3 STROBES OF (E) 2 UNIT BUILDING INCLUDING NEW ENTRY ADDITIONS AT (E) 1ST LEVEL AND NEW BASEMENT LEVEL AT REAR INCLUDES NEW REAR & SIDE HORIZONTAL ADDITION.",,
#200706275334,3,2007/06/27,2009/05/26,ISSUED,9,2011/05/26,600000,775000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,60,9,1742,,KEARNY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REMODEL & HORIZONTAL ADDITIONS TO ALL 3 STROBES OF (E) 2 UNIT BUILDING INCLUDING NEW ENTRY ADDITIONS AT (E) 1ST LEVEL AND NEW BASEMENT LEVEL AT REAR INCLUDES NEW REAR & SIDE HORIZONTAL ADDITION.",,
#200707096216,2,2007/07/09,2009/05/15,ISSUED,9,2011/05/15,300000,427280,,,"1 FAMILY DWELLING",1,6478,31,495,,MORSE,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"ERECT A 3 STORY ONE FAMILY DWELLING UNIT",,
#200707096219,6,2007/07/09,2009/05/15,ISSUED,9,,,,"1 FAMILY DWELLING",1,,,6478,31,495,,MORSE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMOLISH 1 STORY SINGLE FAMILY DWELLING",,
#200708159935,3,2007/08/15,2009/05/29,ISSUED,9,2009/11/29,20000,20000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5957,29,171,,EDINBURGH,ST,,,,,,,,,,,,,,"LEGALIZE REAR EXTENSION 12' X 18' SINGLE STORY.",,
#200709072074,3,2007/09/07,2009/05/18,ISSUED,9,2010/05/18,150000,170000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1548,47,506,,06TH,AV,,,"GEAROID E",O'SULLIVAN,4156017548,"CASTLE CONSTRUCTION",OLMSTEAD,ST,"SAN FRANCISCO",CA,94134-0000,,,"2 story horizontal addition to rear. Enclose (E) lightwell  blocking neighbor's lot line window. Move (E) garage door locate to front wall. New windows/gate @ facade.",,
#200709193133,3,2007/09/19,2009/05/14,ISSUED,9,2010/05/14,16000,31000,"RETAIL SALES",0,"RETAIL SALES",0,3727,14,1126,,HOWARD,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"COMPLY W/COMPLAINT 200717571: REPLACE STORE FRONT. UPGRADE 1 RESTROOM. INSTALL NEW ACCESSIBLE RESTROOM. REMOVE KITCHEN SINK  NON-PERMITTED PARTITIONS AND NON-PERMITTED MEZZANINE.",,
#200709193133,3,2007/09/19,2009/05/14,ISSUED,9,2010/05/14,16000,31000,"RETAIL SALES",0,"RETAIL SALES",0,3727,14,1130,,HOWARD,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"COMPLY W/COMPLAINT 200717571: REPLACE STORE FRONT. UPGRADE 1 RESTROOM. INSTALL NEW ACCESSIBLE RESTROOM. REMOVE KITCHEN SINK  NON-PERMITTED PARTITIONS AND NON-PERMITTED MEZZANINE.",,
#200710165511,3,2007/10/16,2009/05/06,ISSUED,9,2010/05/06,100000,86334.19,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2440,49,2522,,40TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Horizontal extension to rear of the building and remodel existing building.",,
#200710256497,3,2007/10/25,2009/05/11,ISSUED,9,2010/05/11,150000,250000,OFFICE,0,OFFICE,0,312,3,710,,MARKET,ST,,,"PETER NOSLER",,4157823700,"DPR CONSTRUCTION INC",VETERANS,BL,"REDWOOD CITY",CA,94063-0000,,,"SIDEWALK SHORING AND EXCAVATION REFERENCE TO SITE PERMIT # 200607136416 AND DEMO PERMIT #200705252255",,
#200711137997,3,2007/11/13,2009/05/15,ISSUED,9,2011/05/15,100000,368000,APARTMENTS,16,APARTMENTS,16,520,12,1760,,FILBERT,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"INTERIOR REMODEL TO EXPAND UNIT #6 INTO EXISTING STORAGE AREA. CHANSE FROM S-3 TO R-1. RECONFIGURE UNIT 5 AND 6 AT 2ND FLOOR. MEP  FIRE ALARM  FIRE SPRINKLER UNDER SEP.APP.",,
#200711168400,3,2007/11/16,2009/05/08,ISSUED,9,2011/05/08,264000,501000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,6613,30,1507,,NOE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Raise (E)house to create new garage at ground floor and 2 story vertical addition for (N)2nd fl  3rd floor and a basement floor. Frame out 2 levels of conditioned space below existing and one above existing. Remodel (E)1st fl(new 2nd fl)  build out (N)master bdrm &1 bathroom& (n)windows.",,
#200711198535,3,2007/11/19,2009/05/28,ISSUED,9,2010/05/28,96000,96000,APARTMENTS,3,APARTMENTS,4,778,15,1357,,MCALLISTER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Legalize 4th unit at ground floor. THERE IS NO WORK TO BE DONE. THE (E) UNIT WILL BECOME THE 4TH DWELLING UNIT.",,
#200711198535,3,2007/11/19,2009/05/28,ISSUED,9,2010/05/28,96000,96000,APARTMENTS,3,APARTMENTS,4,778,15,1359,,MCALLISTER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Legalize 4th unit at ground floor. THERE IS NO WORK TO BE DONE. THE (E) UNIT WILL BECOME THE 4TH DWELLING UNIT.",,
#200711198535,3,2007/11/19,2009/05/28,ISSUED,9,2010/05/28,96000,96000,APARTMENTS,3,APARTMENTS,4,778,15,1361,,MCALLISTER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Legalize 4th unit at ground floor. THERE IS NO WORK TO BE DONE. THE (E) UNIT WILL BECOME THE 4TH DWELLING UNIT.",,
#200712200934,3,2007/12/20,2009/05/22,ISSUED,9,2011/05/22,350000,350000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,5517,27,59,,MIRABEL,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"INTERIOR RENOVATION OF TWO EXISTING UNITS  A HORIZONTAL ADDITION TO THE GROUND FLOOR  FIRST FLOOR  & SECOND FLOOR IN THE REAR YARD WITH NEW FOUNDATION & FOOTINGS AT ADDITION.",,
#200712211150,3,2007/12/21,2009/05/18,ISSUED,9,2010/05/18,40000,40000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,3544,31,15,,LANDERS,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REPLACEMENT OF EXISTING REAR STAIRCASE WITH NEW STAIR.",,
#200712211150,3,2007/12/21,2009/05/18,ISSUED,9,2010/05/18,40000,40000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,3544,31,19,,LANDERS,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REPLACEMENT OF EXISTING REAR STAIRCASE WITH NEW STAIR.",,
#200712281503,3,2007/12/28,2009/05/13,ISSUED,9,2011/05/13,325000,2575000,OFFICE,,SCHOOL,,339,13,230,,JONES,ST,,,SCOTT,BRAUNINGER,4155195180,"BUILD GROUP INC.",3RD,ST,"SAN FRANCISCO",CA,94107-0000,,,"Change of use from B to E and A occupancy. Remodel ex. space to comply with the code for E occupancy and comply with NOV 200452510. Build new walls for classrooms  offices and group housing. Build new stairs for exiting from 2nd and 3rd floors to street level. Build ADA restrooms and showers.",,
#200712311639,3,2007/12/31,2009/05/12,ISSUED,9,2011/05/12,200000,350000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,822,14,840,,FELL,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Remodel existing 4th floor. Add 3 bedrooms  2 bathrooms. Replace portion of pitched roof with flat roof. New stairs to roof. New DECK & interior stairs TO 4TH FLOOR.",,
