"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200603146674,2,2006/03/14,2011/07/20,ISSUED,9,2014/01/20,1500000,1835000,,,APARTMENTS,7,5476,16,3575,,KEITH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT 4 STORY 7 UNITS RESIDENTICAL BUILDING. NOTE: PLANNING HAS REDUCED THE NUMBER OF UNITS FROM TWELVE (12) TO       SEVEN (7). "
#200603146674,2,2006/03/14,2011/07/20,ISSUED,9,2014/01/20,1500000,1835000,,,APARTMENTS,7,5476,17,3575,,KEITH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT 4 STORY 7 UNITS RESIDENTICAL BUILDING. NOTE: PLANNING HAS REDUCED THE NUMBER OF UNITS FROM TWELVE (12) TO       SEVEN (7). "
#200611178045,3,2006/11/17,2011/07/15,ISSUED,9,2015/01/19,8300000,21240000,OFFICE,0,OFFICE,0,3717,19,120,,HOWARD,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"PROPOSED VERTICAL ADDITION REMOVING EXTG PENTHOUSE AND CONSTRUCTING 4 NEW STORIES WITH FULL FLOOR PLATES  NEW STRUCTURE WILL BE STEEL MOMENT FRAME AND MECHANICAL WILL BE VARIABLE AIR VOLUME-REPLACE 3 EXTG ELEVATORS"
#200705312676,2,2007/05/31,2011/07/20,ISSUED,9,2013/07/20,450000,750000,,,APARTMENTS,3,1160,5,2000,,MCALLISTER,ST,,,HAMID,ALAGHEMAND,4159220200,"AREA DEVELOPMENT CO.",HOWARD,ST,"SAN FRANCISCO",CA,94103-0000,,,"ERECT A NEW 4 STORY CONDO RESIDENTIAL BUILDING."
#200705312677,6,2007/05/31,2011/07/20,ISSUED,9,,,,"LENDING INSTITUTION",0,,,1160,5,2000,,MCALLISTER,ST,,,HAMID,ALAGHEMAND,4159220200,"AREA DEVELOPMENT CO.",HOWARD,ST,"SAN FRANCISCO",CA,94103-0000,,,"DEMOLISH SINGLE FAMILY DWELLING"
#200709193055,3,2007/09/19,2011/07/13,ISSUED,9,2012/07/13,72000,72000,"1 FAMILY DWELLING",2,APARTMENTS,3,119,25,1812,,TAYLOR,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"ADD 3RD UNIT AT GROUND FLOOR 450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH  ELECT. & PLUMB UPGRADES FOR NEW UNIT. ADD WINDOWS  NO BUILDING OUT OF ENVELOPE. CHANGE OF OCCUPANCY FROM R-3 TO R-1."
#200709193055,3,2007/09/19,2011/07/13,ISSUED,9,2012/07/13,72000,72000,"1 FAMILY DWELLING",2,APARTMENTS,3,119,25,1814,,TAYLOR,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"ADD 3RD UNIT AT GROUND FLOOR 450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH  ELECT. & PLUMB UPGRADES FOR NEW UNIT. ADD WINDOWS  NO BUILDING OUT OF ENVELOPE. CHANGE OF OCCUPANCY FROM R-3 TO R-1."
#200804079049,3,2008/04/07,2011/07/20,ISSUED,9,2013/07/20,180000,563489,APARTMENTS,4,APARTMENTS,4,557,14,2296,,VALLEJO,ST,,,DONNY,CHU,5105361068,"D.C. CONSTRUCTION",44TH,AV,OAKLAND,CA,94601-0000,,,"Exterior and interior alternations; Basement: create staircase  lobby & elevator. 1st level: add new bedroom  4th level: half bath  domers  relocate stairs. Rear horiz. addition & side addition."
#200804079049,3,2008/04/07,2011/07/20,ISSUED,9,2013/07/20,180000,563489,APARTMENTS,4,APARTMENTS,4,557,14,2298,,VALLEJO,ST,,,DONNY,CHU,5105361068,"D.C. CONSTRUCTION",44TH,AV,OAKLAND,CA,94601-0000,,,"Exterior and interior alternations; Basement: create staircase  lobby & elevator. 1st level: add new bedroom  4th level: half bath  domers  relocate stairs. Rear horiz. addition & side addition."
#200812108212,3,2008/12/10,2011/07/08,ISSUED,9,2012/07/08,50000,50000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,119,12,824,,GREEN,ST,,,"JOSEPH J. HARTE",,4153816068,"HARTE BUILDING  & DESIGN",THOMAS,DR,"MILL VALLEY",CA,94941-0000,,,"NEW 250 SF ROOF DECK  NEW EXTERIOR SPIRAL STAIR TO 3RD FLOOR DECK  NEW DOOR TO NEW STAIR"
#200901220624,3,2009/01/22,2011/07/29,ISSUED,9,2013/07/29,350000,350000,"2 FAMILY DWELLING",2,APARTMENTS,3,1086,6,253,,PARKER,AV,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"REAR AND 3RD FLOOR ADDITON.  3RD UNIT & DECK. BASEMENT FLR. ADDITION OF 3 CAR GARAGE  WORK ROOM  AND 1/2 BATH.  NEW INTERIOR STAIRS.  1ST. & 2ND FLR. REMODEL. ADD FULL BATH AND DECKS ON EACH LEVEL.  STAIR ROOF HATCH AT ROOF."
#200902262951,3,2009/02/26,2011/07/15,ISSUED,9,2014/01/15,4800000,4800000,OFFICE,0,OFFICE,0,3508,1,1355,,MARKET,ST,,,"JEFFREY JON",NIELSEN,6502271957,"B N B T BUILDERS INC DBA BNBUILDERS","REDWOOD SHORES",PK,"REDWOOD CITY",CA,94065-0000,,,"VOLUNTARY SEISMIC REHABILITATION TO MEET THE LIFE SAFETY PERFORMANC LEVEL AS REQUIRED BY THE PROCEDURES OF ASCE SEISMIC REHABILITATION OF EXTG BLDG AS REFRENCED IN CBC 2007 EDITION. REHAB PROGRAM CONSISTS OF NEW CONCRETE SHEAR CORE SURROUNDING FUTURE ELEVATORS FROM BASEMENT THROUGH 11TH FLOOR."
