"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200112145291,3,2001/12/14,2005/08/11,ISSUED,9,2006/08/11,20000,30000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1305,21,135,,"SEA CLIFF",AV,,,,,,,,,,,,"LEIGH SHERROUSE -ARCHITECT 98 VERMONT ST SF",8634008,"VERTICAL AND HORIZONTAL ADDITION-EXTEND STAIR TO ROOF AND ADD ROOF DECK.",
#200208275048,3,2002/08/27,2005/08/17,ISSUED,9,2006/08/17,80000,260000,APARTMENTS,4,APARTMENTS,4,4207,3,1126,,FLORIDA,ST,0,,JOHN,O'DONOGHUE,4158502196,"O DONOGHUE CONSTRUCTION",HAIGHT,ST,"SAN FRANCISCO",CA,94117-0000,,,"PROPOSED FRONT HORIZONTAL ADDITION TO (E) 4 UNIT BUILDING.UPRADE EXISTING CONSTRUCTION THRUOUT EXIST",
#200208275048,3,2002/08/27,2005/08/17,ISSUED,9,2006/08/17,80000,260000,APARTMENTS,4,APARTMENTS,4,4207,3,1128,,FLORIDA,ST,0,,JOHN,O'DONOGHUE,4158502196,"O DONOGHUE CONSTRUCTION",HAIGHT,ST,"SAN FRANCISCO",CA,94117-0000,,,"PROPOSED FRONT HORIZONTAL ADDITION TO (E) 4 UNIT BUILDING.UPRADE EXISTING CONSTRUCTION THRUOUT EXIST",
#200211010566,3,2002/11/01,2005/08/10,ISSUED,9,2006/08/10,138500,160000,APARTMENTS,3,APARTMENTS,3,87,4,460,,FILBERT,ST,0,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"LUCIA BOGATAY 1108 C BRYANT ST",,"ADD 3 STORIES ADDITION TO FRONT -BEDROOM  BATHROOM & CLOSET TO EACH UNIT",
#200302147550,3,2003/02/14,2005/08/29,ISSUED,9,2006/08/29,75000,85000,"RETAIL SALES",43,"RETAIL SALES",43,669,6,1114,,SUTTER,ST,0,,BEHRUZ,VAHDANI-SANAVI,4158969044,"MATRIX SEISMIC CORP",3RD,ST,"SAN FRANCISCO",CA,94107-0000,,,"UMB SPECIAL PROCEDURE.",
#200304101913,3,2003/04/10,2005/08/05,ISSUED,9,2006/08/05,150000,235000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,991,6,3904,,CLAY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"MISCELLANEOUS INTERIOR REMODEL WITH NEW ENTRY STEPS/DECK AND REAR DECK",
#200304101913,3,2003/04/10,2005/08/05,ISSUED,9,2006/08/05,150000,235000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,991,6,3906,,CLAY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"MISCELLANEOUS INTERIOR REMODEL WITH NEW ENTRY STEPS/DECK AND REAR DECK",
#200304152333,6,2003/04/15,2005/08/11,ISSUED,9,,,,"2 FAMILY DWELLING",2,,,3576,77,84,,SYCAMORE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"SUHEIL SHATARA - 522 2ND ST SF CA 94107",4155127566,"TO DEMOLISH 1 STORY 2 FAMILY DWELLING BUILDING.(FRONT BUILDING)",
#200305144579,3,2003/05/14,2005/08/22,ISSUED,9,2006/08/22,50000,80000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1674,8,846,,32ND,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"AGA ARCHITECTS 790 37TH AVE SF  CA 94121",,"HORIZONTAL ADDITION. REAR YARD ADDITION  DECK  REAR STAIRS  BATHROOM.",
#200306237690,3,2003/06/23,2005/08/30,ISSUED,9,2006/02/28,8000,8000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,6998,46,1385,,HOLLOWAY,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"DAVID HUNG",,"REBUILD EXISTING GARAGE TO THE SAME SIZE PER CITY PLANNING",
#200307310919,3,2003/07/31,2005/08/10,ISSUED,9,2006/08/10,300000,300000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2129,001P,2011,,09TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REMODEL KITCHEN & BATH & PLAYROOM. ADD 3RD LEVEL WITH STUDY  2 BEDROOMS & 2 BATHS.",
